OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95600158,Sample-Routine,Water,Surface Water,1956-09-27,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,13.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95600155,Sample-Routine,Water,Surface Water,1956-05-02,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,14.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95600157,Sample-Routine,Water,Surface Water,1956-07-19,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,22.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95700121,Sample-Routine,Water,Surface Water,1957-01-08,14:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,0.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95700124,Sample-Routine,Water,Surface Water,1957-05-01,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,18.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95600154,Sample-Routine,Water,Surface Water,1955-12-12,14:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,0.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95700119,Sample-Routine,Water,Surface Water,1956-11-07,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,13.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95600156,Sample-Routine,Water,Surface Water,1956-06-25,13:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,25.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95700125,Sample-Routine,Water,Surface Water,1957-09-27,10:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,15.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95700120,Sample-Routine,Water,Surface Water,1956-12-13,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,5.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95700123,Sample-Routine,Water,Surface Water,1957-03-27,10:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,7.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95800087,Sample-Routine,Water,Surface Water,1958-02-20,13:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,0.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95800085,Sample-Routine,Water,Surface Water,1957-10-29,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,8.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95700122,Sample-Routine,Water,Surface Water,1957-02-20,14:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,2.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.95800086,Sample-Routine,Water,Surface Water,1957-12-03,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,2.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96600155,Sample-Routine,Water,Surface Water,1965-10-11,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,20.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96600158,Sample-Routine,Water,Surface Water,1966-04-05,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,3.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96700512,Sample-Routine,Water,Surface Water,1966-10-04,16:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,13.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96900425,Sample-Routine,Water,Surface Water,1969-04-04,15:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,1.5,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.96700514,Sample-Routine,Water,Surface Water,1967-04-27,14:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01110000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,9.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
